sym,close,chg1d,chg5d,chg20d,sma20,sma50,sma200,rsi,macd,atr,vol_ratio,range_pos,score,vol,avg_vol,low20,high20,signal
KLAC,266.19000244140625,-11.772891193416271,10.691120746274594,30.15352869188714,242.62259979248046,207.57787841796875,,60.98544768950314,20.352185403058485,22.128930228097097,1.5342271751560028,0.6406538335914923,14,24136600,15732090.0,192.7729949951172,307.3699951171875,18.086646634054738
LRCX,391.260009765625,-9.708531167995847,4.391681565835163,17.082513221408167,368.86376800537107,319.05149017333986,,61.067013549463034,25.939578369121705,30.52077795477485,1.3216150996408624,0.6525784908447466,14,18664800,14122720.0,302.5268694093298,438.5,24.759322233518766
AMAT,650.9099731445312,-9.970958071295815,10.516665623454614,32.82521974462755,580.3110000610352,485.7858270263672,,64.68230801614794,57.72676634529182,50.43642316545759,1.2526554945554798,0.6904728128437764,14,16041500,12805995.0,452.9100036621094,739.6699829101562,50.56037572447802
AMAT,650.9099731445312,-9.970958071295815,10.516665623454614,32.82521974462755,580.3110000610352,485.7858270263672,,64.68230801614794,57.72676634529182,50.43642316545759,1.2526554945554798,0.6904728128437764,14,16041500,12805995.0,452.9100036621094,739.6699829101562,50.56037572447802
PAYX,102.70999908447266,4.454385408172212,6.6562781200221774,1.9049490539785525,99.16749954223633,95.5182649230957,,53.49241098262681,1.0299748330082537,3.449285234723772,1.1501401975001366,0.8849313598641062,14,4417700,3841010.0,93.0199966430664,103.97000122070312,1.0439043336035803
ADP,235.72999572753906,5.260102228096654,7.2182275416769475,2.74178931297385,224.20455627441407,216.76723510742187,,56.29585906256665,2.1285363034169222,6.142033354911234,0.9830845247415966,0.9522359460781001,14,2988400,3039820.0,213.8000030517578,236.8300018310547,1.704765899434142
ORLY,92.69000244140625,0.6515431940230746,5.545436988733047,7.491590899901339,89.2379997253418,90.80699951171874,,56.79464928720237,0.04671729258818402,2.3328568594796315,0.9956254365974601,0.973005990243738,14,8694100,8732300.0,84.76000213623047,92.91000366210938,-0.5124861076029443
MELI,1742.18994140625,2.6393419527150592,4.978397885665062,4.146266337503046,1637.9654968261718,1686.0024072265626,,66.62561082650419,5.474042624621234,66.15999930245536,1.0044656388288307,0.8891050077808333,13,497100,494890.0,1546.0,1766.6600341796875,-9.563904659769754
AMD,540.8800048828125,-6.890907388804502,4.067421219387887,3.708253953727546,518.0705001831054,455.7141998291016,,63.23600132391376,26.208161014383677,36.706429617745535,0.8770238404354408,0.7027119684173001,13,28186200,32138465.0,437.2300109863281,584.72998046875,27.387400809386797
LIN,533.5499877929688,2.815351540222055,3.4552979270319013,7.930306989642105,515.2400039672851,507.86414611816406,,65.52117372017139,4.379624066095857,11.247146606445312,1.1653766920885127,0.878306410874265,13,3085900,2647985.0,494.57606898736714,538.9500122070312,3.508535427063361
